iter,time,reward,steps,convergence
1,0.015305504999999942,-54.16,120.5,78.4944
2,0.030428491999999974,68.92,21.02,54.44965247976545
3,0.046204517000000056,71.54,19.66,53.19528204954311
4,0.06677501799999996,71.94,19.98,22.234382679293546
5,0.08712270500000008,69.9,20.4,24.09261634093199
6,0.09466128399999985,69.38,20.74,0.001519812216585592
7,0.09960746500000006,70.66,20.0,0.000358443041790224
8,0.10218050600000028,70.42,20.42,0.0003076695655011008
9,0.10450228800000039,72.06,19.68,0.00029530059291715816
10,0.10683671100000014,70.4,19.72,0.0002768745951584606
11,0.11217321300000016,69.78,20.52,0.00026318374572298353
12,0.11674764000000026,70.28,20.02,0.00023860238575679205
13,0.11959801500000022,69.86,19.9,0.00021307070373666193
14,0.1220327840000004,69.56,21.1,0.00017391481030415434
15,0.12640335800000058,69.7,20.6,0.00013165616258703494
16,0.13026627700000049,71.54,19.84,9.35998293343232e-05
17,0.13429907300000066,71.22,20.34,6.313439789806807e-05
18,0.13811300500000057,70.28,19.66,4.073671486537478e-05
19,0.14124782500000066,71.64,20.1,2.531211622169849e-05
20,0.1437398790000004,71.38,19.82,1.522854459778955e-05
21,0.14857781300000017,70.6,20.24,8.911119664389844e-06
22,0.1516952500000004,71.14,19.7,5.0909707809410065e-06
23,0.15536814500000062,70.54,19.9,2.849135661620039e-06
24,0.15767846900000038,70.2,20.82,1.5669416200125852e-06
25,0.16001289200000013,70.8,20.04,8.498260086753362e-07
