iter,time,reward,steps,convergence
1,0.0006716059999991586,-217.24,196.76,89.61217602
2,0.0017576319999985657,-443.1,199.78,79.73665724498409
3,0.00268879399999733,-204.98,196.68,70.3323884138695
4,0.0045214889999964925,-451.0,181.54,60.51257841386949
5,0.005280008999996255,-197.34,199.2,50.92255841386948
6,0.00579121999999721,-158.7,182.12,41.49387213982153
7,0.006508652999997366,-349.52,200.0,31.903317595140756
8,0.007408209999997695,-264.52,190.44,22.073552616396167
9,0.00878421299999843,-212.16,200.0,12.204117671071334
10,0.00957275799999735,-214.86,200.0,2.414007671071333
11,0.010403968999996849,-199.0,200.0,1.9597745221613736
12,0.011215427999996308,-222.66,196.96,2.309760162718047
13,0.011507773999996473,-400.32,187.5,2.277452166050429
14,0.0137671349999966,-326.62,197.0,2.6829124688988175
15,0.013942542999997087,-468.22,194.04,2.4130069634156373
16,0.014508271999996936,-235.86,198.32,2.27205594780404
17,0.015233605999995348,-223.5,200.0,1.9964513483665498
18,0.015736520999995562,-381.0,195.26,2.0361737108573434
19,0.016504521999994637,-425.24,194.06,2.034481889724252
20,0.017251584999995018,-209.78,200.0,2.0211765016933625
21,0.018247536999995262,-250.94,200.0,2.2765791487233984
22,0.019007635999995998,-199.0,200.0,2.0119024287327063
23,0.019294845999995758,-194.24,197.94,1.6137832804813854
24,0.0200624519999959,-203.96,189.96,1.5078692453484535
25,0.020718254999996688,-321.92,196.86,1.9143112502647355
26,0.020985316999995618,-214.34,197.9,1.6595604899467857
27,0.021679440999994526,-217.18,200.0,1.656133578896069
28,0.02240951599999441,-202.92,200.0,1.897439935191315
29,0.023074800999994594,-213.86,198.9,2.2970549151262842
30,0.023374652999994083,-217.44,196.8,2.2529417511559187
31,0.02403756799999357,-266.32,196.4,2.071226116805724
32,0.024337814999993768,-278.1,198.5,1.9967027202174024
33,0.02480991499999341,-258.02,199.16,2.2219261217516375
34,0.024920136999993403,-243.7,196.2,2.1063032693438855
35,0.025113322999994026,-269.74,198.3,1.7693509119059159
36,0.025283594999994108,-190.42,192.52,2.115730839913206
37,0.025538409999994016,-218.54,199.64,2.1951468819880615
38,0.02642097899999385,-135.64,172.68,2.2458480837684762
39,0.026771003999995102,-192.74,196.76,2.325831399781437
40,0.02743431399999352,-199.58,200.0,2.3053500671033147
41,0.028006758999993053,-186.32,180.72,2.2399258053238524
42,0.0282264129999934,-286.8,191.48,2.254524566537161
43,0.028581178999992574,-192.68,197.68,2.073593230404049
44,0.02885061199999228,-211.1,199.1,1.860932265516506
45,0.029571995999992495,-197.52,194.46,2.093183356165929
46,0.030240045999992304,-199.4,199.06,1.7128679629764634
47,0.03054463899999149,-186.58,186.16,1.7393120595477058
48,0.030766664999990923,-189.42,190.54,1.3898635605299277
49,0.031074417999990445,-192.62,195.04,0.9239303497112417
50,0.03152913399999058,-185.0,188.6,0.9263962725143842
51,0.03169110999998992,-201.54,194.14,0.9122456327132624
52,0.03179264099999024,-198.2,199.08,0.8984941478093716
53,0.03196014699998884,-146.9,171.64,0.8181504189114293
54,0.032043504999988315,-170.36,186.98,0.815795882923591
55,0.032225627999988404,-185.26,191.14,0.5011729315094626
56,0.03248557899998872,-14.0,96.36,0.5692761891911658
57,0.03272419599998955,-197.34,199.6,0.4781371490873255
