iter,time,reward,steps,convergence
1,0.0011298790000005,-285.98,174.88,104.328
2,0.002841289000002689,-242.28,174.24,107.16409100339895
3,0.0032395120000039412,-128.36,138.0,113.52388958066165
4,0.0037278090000043562,-130.64,159.44,107.59288958066165
5,0.0044752670000072214,-132.04,142.92,114.33470974852301
6,0.005933837000007713,-133.2,158.06,120.13342589459174
7,0.006359319000008412,-63.82,121.16,124.54545307431465
8,0.006669048000006228,-55.2,123.72,126.2598305010687
9,0.007090184000006161,-40.8,101.66,133.18455174109704
10,0.007331962000005632,49.58,39.38,140.29366965022285
11,0.0074532460000078515,62.84,26.3,129.47996701793448
12,0.007538975000006332,51.48,40.08,133.22101682321008
13,0.007640506000004876,23.44,62.8,125.1677062612674
14,0.007806827000003125,0.36,81.84,134.62136327816285
15,0.008131964000003933,-244.44,195.46,133.28900281580172
16,0.008487915000003454,-239.94,192.74,135.590286669733
17,0.009039422000004294,-17.86,93.38,123.5050748370968
18,0.0091476690000043,-16.46,94.78,114.07699478018226
19,0.009227867000006995,12.0,70.46,108.74397149075017
20,0.009447127000008493,-67.9,117.52,107.45689098064767
21,0.010638240000009347,-53.74,105.12,113.1843606116234
22,0.010755179000010884,-53.58,64.54,109.97100375771063
23,0.010865006000010169,12.48,48.04,105.46523336522799
24,0.010994982000010367,-222.24,107.02,106.22038057175003
25,0.01126836500001005,25.12,59.16,100.67366096463047
26,0.011390440000010216,68.64,23.28,87.32620486041777
27,0.011594292000012274,52.1,39.28,97.59201126126581
28,0.011757848000012672,-8.88,91.72,111.48590906054964
29,0.012224812000013685,46.64,40.72,101.36471875681954
30,0.012321997000015017,-34.76,93.08,91.1008028839432
31,0.012433404000013581,65.28,25.02,82.92814660317259
32,0.012577207000013857,48.32,40.92,71.56478873368658
33,0.013123578000016067,55.28,25.48,82.75085506844226
34,0.013286738000015674,31.98,59.4,70.84490111481902
35,0.013356664000014007,-42.06,109.76,62.14231632017065
36,0.013469257000011226,-160.66,114.56,73.50167242438336
37,0.013741455000012337,-23.2,97.58,74.62026208439514
38,0.013855628000012388,8.26,73.12,60.325333102472726
39,0.013926344000012136,30.18,49.14,60.082244111180124
40,0.014044468000012245,64.38,26.1,56.18200800363693
41,0.014172073000011665,56.16,34.32,67.39658860922266
42,0.014246739000011388,6.14,81.78,67.97164443832246
43,0.014467579000012165,46.72,44.66,55.50836228635287
44,0.014546986000013362,45.06,45.96,54.900720895069114
45,0.014842888000014653,-86.98,143.58,56.200679641545
46,0.015170790000013312,20.12,69.64,45.111573961332354
47,0.015315383000011451,36.06,51.38,32.73727871444978
48,0.015462741000010993,-0.68,79.86,32.00730267624544
49,0.015570593000010291,17.22,66.34,36.1415755522014
50,0.01569819800000971,20.88,69.42,35.29736002320692
51,0.016016618000008975,43.1,44.7,25.539978546966406
52,0.016113803000010307,66.44,24.4,25.998897007295774
53,0.016226791000011787,49.48,41.0,25.159253946817607
54,0.016358742000011972,36.14,52.64,24.973552451813305
55,0.016581557000012737,63.3,24.5,23.60343840160511
56,0.016731681000010212,46.66,43.74,19.383714560931793
57,0.016937903000009413,49.84,40.82,18.912617915871483
58,0.017201014000008286,67.68,23.48,19.631318384375486
59,0.017275286000007384,68.34,23.4,15.269874695999158
60,0.017372077000004538,49.86,38.44,16.67845180431098
61,0.017471237000002304,51.82,38.66,14.596065652474369
62,0.01759291600000168,20.2,65.32,15.794358472659548
63,0.017692866000000862,47.1,39.9,30.037014327289278
64,0.017803089000000938,51.4,40.34,30.391307669107977
65,0.018019978000001657,47.96,38.24,30.741059948058297
66,0.01821276800000149,-297.78,134.52,35.43685331065618
67,0.018302446999999944,33.3,58.62,36.199413789769345
68,0.018551732000002374,67.18,23.66,36.416011373279204
