iter,time,reward,steps,convergence
1,0.024045865,-199.0,200.0,78.4944
2,0.03832460400000004,-199.0,200.0,55.279039200000014
3,0.04326130299999997,-196.08,198.92,33.241027609313576
4,0.04807158200000006,-186.88,193.4,24.630917775349634
5,0.0509654140000001,-195.78,198.62,22.421093062917222
6,0.05415159199999997,-107.96,144.7,21.25646228954501
7,0.05696759699999987,47.38,38.66,18.10938625855524
8,0.059680489999999864,69.3,21.54,15.997345230448875
9,0.06337629799999989,68.54,21.54,15.086932007789416
10,0.06617650000000008,70.8,20.22,14.197266793692284
11,0.06904504800000022,70.12,20.72,13.125207062913844
12,0.07182233700000018,71.26,20.3,12.33134049516967
13,0.07520012000000009,71.26,19.4,10.484107628463457
14,0.078021656,71.38,19.28,9.965344722855036
15,0.08063025300000004,69.94,20.18,8.656859262546156
16,0.0838752949999999,69.36,21.3,8.129061036814342
17,0.08720804100000001,71.02,20.0,6.972996624041755
18,0.09095086100000005,69.94,20.36,6.2344504568324375
19,0.09368864399999999,69.9,19.5,4.858845658712614
20,0.09647264899999985,71.34,20.4,3.462870142097163
21,0.0998049999999997,71.44,19.58,2.310222440128932
22,0.10407522899999977,71.92,19.46,1.463211367281346
23,0.10724718399999977,70.8,20.76,0.8883241203819878
24,0.1101362749999999,70.94,19.72,0.5206101018692166
25,0.11284679799999986,70.52,19.6,0.29613368715563837
26,0.11571929599999975,72.64,19.82,0.1641975051567286
27,0.11908167199999986,70.16,19.78,0.08905641199386594
28,0.12313224599999972,71.72,20.2,0.04738771625275717
29,0.1261785719999997,71.76,18.9,0.024809668274365038
30,0.12954608399999978,72.04,20.24,0.012828362042220931
31,0.13419201699999994,71.7,19.86,0.006592931726359552
32,0.136791133,71.72,19.66,0.00340604863911409
33,0.1398544460000002,71.6,19.24,0.001801407372127528
34,0.14258472200000005,71.02,21.08,0.000998966751595276
35,0.14667361700000003,70.86,20.52,0.0005934752313336844
36,0.1497957940000001,70.16,20.32,0.0003802276922897363
37,0.15262641600000015,71.62,20.48,0.00025923504814784337
38,0.15537960600000011,68.28,20.94,0.00018346377601119457
39,0.15793763500000013,70.62,19.86,0.00013155481701687677
40,0.160921541,70.42,19.88,9.394170086807208e-05
41,0.16374228599999996,68.4,21.36,6.612937956163023e-05
42,0.16633152500000015,70.64,19.84,4.565768308850693e-05
43,0.16915977700000018,70.74,19.56,3.085717567330448e-05
44,0.1722708930000003,70.48,20.28,2.0408207795696853e-05
45,0.17493519300000027,72.02,20.08,1.3217002333476557e-05
46,0.17759870300000014,71.68,20.06,8.390904092436813e-06
47,0.18020255900000004,70.9,20.3,5.228755249220285e-06
48,0.182725032,69.7,20.96,3.2027700527237357e-06
49,0.18535022099999998,69.48,21.18,1.931388176501514e-06
50,0.18810143499999965,70.12,20.28,1.1486382476277868e-06
51,0.1908005009999998,69.3,20.64,6.7504629441828e-07
