iter,time,reward,steps,convergence
1,0.1405659499999956,-299.0,300.0,80.09478733013393
2,0.3108386139999979,-299.0,300.0,53.69207683739528
3,0.4730472659999947,-299.0,300.0,68.32523104617314
4,0.6325829259999978,-299.0,300.0,66.58720860788371
5,0.796307431999999,-299.0,300.0,62.665109289383544
6,0.9773048529999997,-182.52,229.36,52.0804062453953
7,1.138759725,11.97,73.12,51.92186786656188
8,1.3350839860000008,17.14,71.56,37.87381946777904
9,1.501648594999999,20.19,72.91,27.56553091999737
10,1.6757146480000031,14.88,71.57,1.1213233378381808
11,1.6984477210000009,17.07,71.88,0.0006410205553550874
12,1.7208276080000005,13.26,71.18,0.00035767055440460993
13,1.7459788580000009,12.98,72.81,0.00019625493334141098
14,1.769306499999999,14.82,71.81,0.00010635438190753632
15,1.8013780570000009,21.62,71.28,5.710439412531798e-05
16,1.8238831789999992,17.84,71.93,3.0448744412936435e-05
17,1.846995115999995,16.22,70.92,1.615096839202579e-05
18,1.8736385159999998,18.12,71.07,8.533417525047327e-06
19,1.8949920319999976,12.89,70.76,4.495592998754461e-06
20,1.9160634730000012,11.81,71.95,2.9083672643537284e-06
21,1.94174134,23.68,71.85,1.937656236350449e-06
22,1.962764582999995,15.15,71.52,1.264307094572814e-06
23,1.9849327169999924,16.0,72.68,8.08773156890652e-07
