iter,time,reward,steps,convergence
1,0.052802058,-380.84,300.0,84.11498614433867
2,0.08833080599999987,-299.0,300.0,54.47533877325851
3,0.11781114900000045,-299.0,300.0,42.92537401438118
4,0.14740210900000061,-299.0,300.0,35.86017284232652
5,0.1948585790000008,-299.0,300.0,29.821931804940913
6,0.2263268760000008,-299.0,300.0,27.246922424695263
7,0.25676406000000096,-299.0,300.0,24.489291693357245
8,0.28818178900000113,-299.0,300.0,22.762135514935487
9,0.3211153720000013,-299.0,300.0,20.32972900992234
10,0.35260895200000064,-299.0,300.0,18.171735551175402
11,0.3846026810000023,-299.0,300.0,17.74371257367571
12,0.4191627360000023,-299.0,300.0,16.39954340554192
13,0.4511118230000015,-299.0,300.0,15.067820886655323
14,0.4839928620000009,-299.0,300.0,13.736276275271287
15,0.520537710000001,-299.0,300.0,11.85480518900556
16,0.5572188540000003,-299.0,300.0,11.095323900333335
17,0.5876829019999992,-299.0,300.0,10.506408919177655
18,0.620652831000001,-299.0,300.0,9.243719148694527
19,0.6621576870000005,-299.0,300.0,8.63252744088658
20,0.6927493400000024,-299.0,300.0,8.289334184723852
21,0.7258686030000021,-299.0,300.0,7.936961413447367
22,0.7584758650000047,-299.0,300.0,6.805986691904639
23,0.7884776900000041,-299.0,300.0,5.982586197868619
24,0.822090780000007,-159.05,215.92,5.013012612876869
25,0.8597718270000065,-166.05,222.33,4.14030775477311
26,0.9110339330000059,-144.66,205.74,3.681691292731892
27,0.9421770940000052,18.63,72.26,3.2329017870867585
28,0.9751450470000051,14.03,71.45,2.932700648766197
29,1.0128126620000053,14.28,73.49,2.5970837956002484
30,1.0440462910000043,18.63,71.9,2.2951762698188283
31,1.0749484640000055,18.32,72.75,2.087428099028422
32,1.1076398740000037,18.03,71.86,2.0119718323310174
33,1.1405458020000019,12.67,72.57,1.8023555803474203
34,1.1792646779999991,17.91,71.06,1.5318790053406843
35,1.2260511219999977,17.26,71.71,1.240383276989924
36,1.2631352299999996,13.49,72.88,0.9671615228541199
37,1.2933646109999977,17.21,72.77,0.7312361588951042
38,1.3273826399999962,19.36,71.13,0.5387089422859024
39,1.360214690999996,20.57,72.29,0.3881940798243271
40,1.3890791319999956,15.26,72.55,0.27449151502322344
41,1.417714831999998,15.64,72.17,0.19217192685298023
42,1.446684358999999,12.16,73.94,0.1402917394224037
43,1.4768205059999993,13.18,72.77,0.10053749543522983
44,1.5071419369999965,23.02,72.03,0.07072146561439041
45,1.5366617859999963,18.52,70.72,0.04888197701398056
46,1.5660247960000007,22.59,70.84,0.03330265920406639
47,1.5983701309999994,16.78,71.01,0.022428757168727387
48,1.626077039000002,15.25,72.45,0.014944548124592671
49,1.6549489860000008,18.4,70.9,0.009839198899960877
50,1.6848465150000003,16.82,72.64,0.006386699851400834
51,1.7140941659999989,17.33,72.15,0.004079098307133933
52,1.742406704000004,14.24,72.39,0.0025603762463806135
53,1.77042255100001,16.45,72.78,0.0015789355217084022
54,1.799553263000007,14.83,73.65,0.0009570293728931034
55,1.8285611110000062,16.66,72.18,0.0005706481942944208
56,1.8576515280000052,19.54,71.69,0.0003351078779498806
57,1.8871697970000056,15.74,71.83,0.00019404627378705186
58,1.9165087070000055,14.79,72.49,0.00011093268168060888
59,1.9441587260000048,18.76,71.84,6.26829464831502e-05
60,1.9733712170000004,15.96,72.17,3.562651587962762e-05
61,2.002769386000004,14.31,72.45,2.0738141431664303e-05
62,2.031674123000002,18.12,70.43,1.197957776710723e-05
63,2.0587275970000007,20.45,71.94,6.870197845287862e-06
64,2.0872870500000005,15.59,72.84,3.913191568116758e-06
65,2.115582205999999,19.04,72.56,2.2146325608929374e-06
66,2.1440187939999973,15.84,73.42,1.2458097877754426e-06
67,2.173118690999999,13.12,72.88,6.968643582183631e-07
